ENTIDAD,"DISTRITO
LOCAL","CABECERA DISTRITAL
LOCAL",MUNICIPIO,NOMBRE,SECCION,TIPO,NOMBRE DE COLONIA,CLASIFICACION,CP,,,,
,17,MORELIA SURESTE,054,MORELIA,1269,RURAL,FLOR DEL DURAZNO,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1269,RURAL,LA HERMITA,COLONIA,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1269,RURAL,MIRADOR LA TORRECILLA,COLONIA,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1269,RURAL,POTRERO DE LA PRESA,COLONIA,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1269,RURAL,VILLAS DEL SOL,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,COLINAS ALTOZANO,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,COTO DEL ANGEL,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,HACIENDA DEL MONTE,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,JESUS DEL MONTE,LOCALIDAD,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,LA CAPILLA,COLONIA,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,LA TOSCANA,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,LAS CRUCES,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,MONTE BELLO,FRACCIONAMIENTO,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1270,RURAL,SAN JOSE DE LAS TORRES,LOCALIDAD,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1273,RURAL,SAN MIGUEL DEL MONTE,LOCALIDAD,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1273,RURAL,VENTURA PUENTE,COLONIA,58090,,,,
16,17,MORELIA SURESTE,054,MORELIA,1276,RURAL,SANTIAGO UNDAMEO,LOCALIDAD,58095,,,,
16,17,MORELIA SURESTE,054,MORELIA,1278,RURAL,LA PALMITA,LOCALIDAD,58095,,,,
16,17,MORELIA SURESTE,054,MORELIA,1278,RURAL,SAN CARLOS COAPA,LOCALIDAD,58095,,,,
16,17,MORELIA SURESTE,054,MORELIA,1278,RURAL,TIRIO,LOCALIDAD,58095,,,,
16,17,MORELIA SURESTE,054,MORELIA,1279,RURAL,ATECUARO,LOCALIDAD,58350,,,,
16,17,MORELIA SURESTE,054,MORELIA,1280,RURAL,NIEVES,LOCALIDAD,58340,,,,
16,17,MORELIA SURESTE,054,MORELIA,1286,MIXTA,COINTZIO,LOCALIDAD,58341,,,,
16,17,MORELIA SURESTE,054,MORELIA,1286,MIXTA,EL ARQUITO,COLONIA,58341,,,,
16,17,MORELIA SURESTE,054,MORELIA,1286,MIXTA,EL EDEN,COLONIA,58341,,,,
16,17,MORELIA SURESTE,054,MORELIA,1286,MIXTA,LA CAMPIÐA,FRACCIONAMIENTO,58341,,,,
16,17,MORELIA SURESTE,054,MORELIA,1286,MIXTA,MONTE RUBIO,COLONIA,58341,,,,
16,17,MORELIA SURESTE,054,MORELIA,1286,MIXTA,TENENCIA MORELOS,COLONIA,58341,,,,
,,,,,,,,,,,,,
